Gene	Mutations	Coverage	p-value	q-value	Rank
XRN1	20	4131	0.010124588	0.053746341	3012
OR2B3	16	3895	0.010126939	0.053746341	3013
CYP11B1	20	4241	0.010127841	0.053746341	3014
GLUD2	19	4232	0.010130803	0.053746341	3015
KAT6B	19	3514	0.010136967	0.053746341	3016
OR52N5	24	3500	0.010138159	0.053746341	3017
UBR2	19	4827	0.010142402	0.053746341	3018
DENND5A	18	3078	0.010150670	0.053746341	3019
ABCG8	21	3085	0.010151109	0.053746341	3020
MRPL30	20	4249	0.010152143	0.053746341	3021
CACNB2	18	3553	0.010159164	0.053746341	3022
ROBO3	21	3821	0.010173742	0.053746341	3023
FAM90A1	17	3350	0.010175753	0.053746341	3024
TSC22D2	20	4107	0.010176280	0.053746341	3025
IFNA1	21	3042	0.010177050	0.053746341	3026
CCP110	23	3458	0.010180156	0.053746341	3027
FBLIM1	18	3399	0.010181081	0.053746341	3028
TBC1D31	22	3531	0.010183332	0.053746341	3029
CDH19	22	4957	0.010186957	0.053746341	3030
KMT2E	18	3580	0.010188593	0.053746341	3031
HNF4G	21	4026	0.010188948	0.053746341	3032
ZNF761	17	3118	0.010195215	0.053746341	3033
ZNF248	20	4825	0.010197502	0.053746341	3034
PADI3	19	3955	0.010198055	0.053746341	3035
OR4D9	21	3916	0.010201151	0.053746341	3036
CD1D	18	4668	0.010205055	0.053746341	3037
ITGA3	21	3735	0.010206968	0.053746341	3038
RPE65	21	3628	0.010209166	0.053746341	3039
SIN3A	21	4875	0.010211625	0.053746341	3040
OR5B3	17	3405	0.010215145	0.053746341	3041
DIP2B	18	3064	0.010215738	0.053746341	3042
FOXG1	25	4265	0.010216766	0.053746341	3043
ZNF215	18	3608	0.010217881	0.053746341	3044
NTRK2	22	4706	0.010223122	0.053746341	3045
PNLIPRP3	22	4447	0.010227197	0.053746341	3046
PDYN	18	3456	0.010228069	0.053746341	3047
CHRDL1	19	4184	0.010228245	0.053746341	3048
NOTCH3	17	4646	0.010229744	0.053746341	3049
OR10G7	21	4388	0.010230490	0.053746341	3050
WT1	22	4646	0.010235677	0.053746341	3051
OR4C12	19	3799	0.010237587	0.053746341	3052
AHDC1	16	4449	0.010239545	0.053746341	3053
ENPP3	17	3586	0.010239633	0.053746341	3054
CP	17	3663	0.010243919	0.053746341	3055
BMP5	21	4099	0.010256524	0.053746341	3056
OR5B17	17	4716	0.010257990	0.053746341	3057
GJA8	21	4825	0.010258963	0.053746341	3058
BARD1	17	4021	0.010259431	0.053746341	3059
ARMCX5-GPRASP2	23	3306	0.010263554	0.053746341	3060
GSDME	20	3482	0.010263838	0.053746341	3061
PLBD2	22	4082	0.010265134	0.053746341	3062
SIPA1L3	21	3841	0.010272149	0.053746341	3063
ZNF334	20	3372	0.010273036	0.053746341	3064
PALD1	19	3455	0.010274892	0.053746341	3065
NRIP1	19	3057	0.010276752	0.053746341	3066
N4BP1	24	3720	0.010276797	0.053746341	3067
HTR7	21	3941	0.010277388	0.053746341	3068
NR3C2	21	4993	0.010277749	0.053746341	3069
PMS1	23	4324	0.010278061	0.053746341	3070
PRDM10	17	3651	0.010282156	0.053746341	3071
IARS2	21	4375	0.010285435	0.053746341	3072
ZNF585B	21	3967	0.010287950	0.053746341	3073
ZNF256	17	4425	0.010296971	0.053746341	3074
OR51E2	21	4142	0.010303273	0.053746341	3075
PKDREJ	19	4665	0.010303526	0.053746341	3076
EGF	20	4005	0.010313376	0.053746341	3077
VAV1	19	4560	0.010315968	0.053746341	3078
AP4B1	20	3589	0.010318241	0.053746341	3079
HERC4	18	4674	0.010328113	0.053746341	3080
FATE1	20	3750	0.010328548	0.053746341	3081
CNGA4	19	3560	0.010332190	0.053746341	3082
BRWD1	24	4332	0.010332815	0.053746341	3083
SBF1	21	4608	0.010334384	0.053746341	3084
AASS	19	4035	0.010336477	0.053746341	3085
PHLPP1	22	4168	0.010336592	0.053746341	3086
GABRR1	21	3304	0.010339587	0.053746341	3087
ARHGEF12	19	4195	0.010340854	0.053746341	3088
RPAP1	18	3699	0.010341001	0.053746341	3089
ALDH8A1	17	3462	0.010341137	0.053746341	3090
SLC18A3	19	3011	0.010342920	0.053746341	3091
TEX13A	20	4603	0.010343131	0.053746341	3092
ADRA2A	17	3514	0.010345164	0.053746341	3093
IL9R	19	3459	0.010350431	0.053746341	3094
DRP2	24	4415	0.010359540	0.053746341	3095
FNDC7	18	4575	0.010360942	0.053746341	3096
PPP1R26	20	3493	0.010364306	0.053746341	3097
URB2	21	3891	0.010370189	0.053746341	3098
TM6SF2	18	3628	0.010375661	0.053746341	3099
PIK3CB	22	3629	0.010375694	0.053746341	3100
AKR1B10	16	3198	0.010381386	0.053746341	3101
CTCFL	21	3918	0.010387906	0.053746341	3102
RGL1	17	4132	0.010388052	0.053746341	3103
RPL22	17	3359	0.010396649	0.053746341	3104
ZMYND8	19	4326	0.010398327	0.053746341	3105
CFAP44	20	3643	0.010404485	0.053746341	3106
OBSL1	21	4182	0.010409556	0.053746341	3107
CATSPERD	18	4978	0.010411403	0.053746341	3108
ANAPC1	18	3641	0.010411667	0.053746341	3109
CREB5	19	3775	0.010417803	0.053746341	3110
GPR149	19	3341	0.010417924	0.053746341	3111
MX2	22	4043	0.010422865	0.053746341	3112
RALGAPA2	19	4989	0.010423847	0.053746341	3113
JPH2	18	3307	0.010425493	0.053746341	3114
ZMYM3	23	3913	0.010425912	0.053746341	3115
CROCC	22	3971	0.010426312	0.053746341	3116
SASH1	21	4359	0.010426493	0.053746341	3117
OR4K15	22	4742	0.010426667	0.053746341	3118
ABCB8	20	4399	0.010432188	0.053746341	3119
BLOC1S4	19	4573	0.010432880	0.053746341	3120
GTF3C3	17	4245	0.010439545	0.053746341	3121
C8A	19	4811	0.010444090	0.053746341	3122
WDR91	23	4375	0.010446618	0.053746341	3123
NOD2	19	3858	0.010446991	0.053746341	3124
CCDC57	16	3378	0.010450686	0.053746341	3125
CD86	22	4008	0.010455261	0.053746341	3126
SATL1	20	4478	0.010455787	0.053746341	3127
CASP4	20	4167	0.010462656	0.053746341	3128
TRPV4	18	3241	0.010465537	0.053746341	3129
ZNF71	20	4635	0.010467074	0.053746341	3130
GLYATL1	19	3380	0.010467812	0.053746341	3131
TBX15	22	4880	0.010473623	0.053746341	3132
FBXW7	18	3855	0.010474318	0.053746341	3133
MAGEB10	19	4804	0.010476687	0.053746341	3134
TAAR9	18	4236	0.010476742	0.053746341	3135
IGKV1-5	17	3212	0.010482429	0.053746341	3136
CSF2RB	21	4009	0.010482461	0.053746341	3137
CCDC144A	18	4950	0.010483027	0.053746341	3138
DEF8	22	4525	0.010485565	0.053746341	3139
SAMD7	22	4956	0.010486811	0.053746341	3140
VCP	19	4035	0.010489245	0.053746341	3141
HLTF	17	4458	0.010490177	0.053746341	3142
GBP4	21	4364	0.010490202	0.053746341	3143
MTMR8	19	4562	0.010491499	0.053746341	3144
CYYR1	19	4282	0.010491867	0.053746341	3145
DGKG	23	4713	0.010492943	0.053746341	3146
SULT1E1	20	4190	0.010494497	0.053746341	3147
GRIK5	20	3620	0.010497234	0.053746341	3148
ACTL9	18	3539	0.010497843	0.053746341	3149
CDC20B	19	3792	0.010499772	0.053746341	3150
SLAMF8	20	3856	0.010506190	0.053746341	3151
PDSS2	19	3127	0.010508653	0.053746341	3152
GATA3	23	4189	0.010509515	0.053746341	3153
ANKRD11	15	4663	0.010510482	0.053746341	3154
SPOCD1	19	3286	0.010512159	0.053746341	3155
PKD2L1	19	3901	0.010516246	0.053746341	3156
LARS1	21	4241	0.010519134	0.053746341	3157
EXO1	22	4058	0.010521946	0.053746341	3158
PPP4R4	19	3979	0.010523770	0.053746341	3159
PCDHGB6	22	3968	0.010525280	0.053746341	3160
NPHP4	16	3883	0.010525834	0.053746341	3161
THSD4	18	3777	0.010526373	0.053746341	3162
ATP8B2	18	3784	0.010527084	0.053746341	3163
ITIH1	19	3163	0.010527229	0.053746341	3164
SLC7A13	19	3536	0.010529807	0.053746341	3165
OPRPN	19	4871	0.010532012	0.053746341	3166
EYA4	20	3618	0.010535535	0.053746341	3167
PWWP3B	17	4420	0.010535890	0.053746341	3168
LRRC55	16	3213	0.010537753	0.053746341	3169
APOA4	17	3272	0.010538791	0.053746341	3170
OPLAH	20	3580	0.010538872	0.053746341	3171
MIB1	20	3105	0.010542628	0.053746341	3172
PRAMEF12	21	4290	0.010543146	0.053746341	3173
RFX4	18	3020	0.010549083	0.053746341	3174
DSE	18	4206	0.010549368	0.053746341	3175
CCDC54	18	4250	0.010551474	0.053746341	3176
EPCAM	19	4676	0.010552724	0.053746341	3177
BPIFB2	17	3702	0.010557762	0.053746341	3178
GJA10	21	3961	0.010558444	0.053746341	3179
LIMCH1	20	3553	0.010566003	0.053746341	3180
HK2	16	4283	0.010577176	0.053746341	3181
CEL	18	3593	0.010581579	0.053746341	3182
FTMT	17	3313	0.010581646	0.053746341	3183
ADGRF5	22	3552	0.010581892	0.053746341	3184
CPSF1	18	4911	0.010587708	0.053746341	3185
KLB	21	4354	0.010588132	0.053746341	3186
RBM14	14	3439	0.010588750	0.053746341	3187
NAALADL2	19	3748	0.010590591	0.053746341	3188
OR51T1	22	3529	0.010593419	0.053746341	3189
SLCO1B3	20	3311	0.010594551	0.053746341	3190
EPN2	20	3508	0.010600089	0.053746341	3191
PAX7	18	4713	0.010602514	0.053746341	3192
MCTP2	20	3583	0.010603304	0.053746341	3193
SLC17A3	14	4537	0.010604716	0.053746341	3194
FAM184A	17	4706	0.010616922	0.053746341	3195
NOX4	17	3766	0.010626306	0.053746341	3196
DOCK3	19	4489	0.010635105	0.053746341	3197
CDK13	20	4004	0.010636918	0.053746341	3198
LHX8	20	4100	0.010638943	0.053746341	3199
RCC2	19	3516	0.010645571	0.053746341	3200
TMEM131L	22	3525	0.010646867	0.053746341	3201
MN1	20	4475	0.010648253	0.053746341	3202
BIVM-ERCC5	22	3333	0.010653816	0.053746341	3203
PEX5L	23	3006	0.010653832	0.053746341	3204
SLC22A11	18	4726	0.010655851	0.053746341	3205
KRTAP5-1	17	3361	0.010659304	0.053746341	3206
SEC23A	19	4960	0.010659306	0.053746341	3207
ABCG4	21	3327	0.010669331	0.053746341	3208
NDN	20	3914	0.010670725	0.053746341	3209
AGAP1	17	3059	0.010677017	0.053746341	3210
CLCN3	15	4852	0.010680324	0.053746341	3211
B2M	19	3661	0.010682044	0.053746341	3212
INTS5	21	3453	0.010682287	0.053746341	3213
GHR	21	4561	0.010682520	0.053746341	3214
KCNV1	23	4266	0.010682702	0.053746341	3215
ZNF675	16	4326	0.010684205	0.053746341	3216
MINAR1	20	4072	0.010684552	0.053746341	3217
SERPINB2	23	3207	0.010686086	0.053746341	3218
WNT2	18	3421	0.010688659	0.053746341	3219
TTK	18	3509	0.010689514	0.053746341	3220
ZNF493	20	4277	0.010695799	0.053746341	3221
RPS6KA6	16	4318	0.010696641	0.053746341	3222
OR5A2	18	3231	0.010702880	0.053746341	3223
ZBTB41	19	4415	0.010708310	0.053746341	3224
CNTNAP1	18	4802	0.010709604	0.053746341	3225
EVI2B	21	3516	0.010710195	0.053746341	3226
ANO6	20	3520	0.010711312	0.053746341	3227
SLC2A10	16	4956	0.010715099	0.053746341	3228
PTPN9	21	3574	0.010717879	0.053746341	3229
TBX4	22	4655	0.010718305	0.053746341	3230
SPATA16	19	3647	0.010719367	0.053746341	3231
MAGED2	17	3121	0.010722871	0.053746341	3232
NCF2	15	3930	0.010727842	0.053746341	3233
OLFM3	21	4244	0.010730799	0.053746341	3234
ZNF485	16	4251	0.010732778	0.053746341	3235
GFPT1	20	3323	0.010732967	0.053746341	3236
TEX11	19	4093	0.010734259	0.053746341	3237
DENND1B	20	4546	0.010741434	0.053746341	3238
PJA2	19	4549	0.010746793	0.053746341	3239
BAZ1B	18	3231	0.010753902	0.053746341	3240
RPGRIP1L	20	4968	0.010762546	0.053746341	3241
RTN3	15	3267	0.010764856	0.053746341	3242
MAP3K1	17	4053	0.010771163	0.053746341	3243
ATRN	17	3942	0.010773787	0.053746341	3244
HAPLN1	18	4352	0.010777223	0.053746341	3245
DLGAP1	22	4273	0.010779640	0.053746341	3246
NR5A2	18	3464	0.010780816	0.053746341	3247
TEKT1	17	3891	0.010780855	0.053746341	3248
NKX2-1	21	4208	0.010783678	0.053746341	3249
ARHGAP35	21	4112	0.010784716	0.053746341	3250
PRKCA	16	3836	0.010785612	0.053746341	3251
POLR1A	17	4553	0.010787704	0.053746341	3252
ARMCX2	19	4826	0.010791347	0.053746341	3253
ECEL1	19	4962	0.010794518	0.053746341	3254
OFD1	17	4850	0.010798406	0.053746341	3255
BACH1	22	4307	0.010804673	0.053746341	3256
AKNA	18	4528	0.010805123	0.053746341	3257
MIOS	17	3769	0.010805546	0.053746341	3258
NCOA5	17	3087	0.010805573	0.053746341	3259
NEO1	18	4120	0.010805741	0.053746341	3260
SMOX	21	4076	0.010805755	0.053746341	3261
AAK1	18	3988	0.010811466	0.053746341	3262
FOXA1	24	4016	0.010814090	0.053746341	3263
EFCAB6	20	4681	0.010821139	0.053746341	3264
USP7	18	3482	0.010823233	0.053746341	3265
IRS1	22	4472	0.010831083	0.053746341	3266
CNGB1	19	3482	0.010833220	0.053746341	3267
NPAS3	18	4382	0.010835816	0.053746341	3268
RIMS4	20	3297	0.010839875	0.053746341	3269
RPRD2	16	3808	0.010840487	0.053746341	3270
SLC35F1	16	4689	0.010842760	0.053746341	3271
PSG4	24	3091	0.010846989	0.053746341	3272
ESRRG	16	3678	0.010848111	0.053746341	3273
ZNF569	18	3446	0.010853652	0.053746341	3274
DAPK1	17	4492	0.010853851	0.053746341	3275
COL17A1	21	3383	0.010855467	0.053746341	3276
SEC61A2	20	3699	0.010857585	0.053746341	3277
TP63	19	3669	0.010858295	0.053746341	3278
NDST3	23	4328	0.010862659	0.053746341	3279
CIB4	20	3151	0.010863383	0.053746341	3280
LPP	18	3597	0.010866876	0.053746341	3281
GOLGA2	17	3961	0.010867926	0.053746341	3282
DSC1	18	3016	0.010869751	0.053746341	3283
MAG	19	4835	0.010869996	0.053746341	3284
SLC22A16	20	3672	0.010878531	0.053746341	3285
MCM6	15	4230	0.010883144	0.053746341	3286
TDRD3	18	3241	0.010886217	0.053746341	3287
FAM91A1	19	4500	0.010887217	0.053746341	3288
PLEKHA6	19	3947	0.010887236	0.053746341	3289
PIP4K2C	17	4646	0.010892834	0.053746341	3290
ANKLE2	15	3967	0.010894052	0.053746341	3291
ITGB3	19	3911	0.010894251	0.053746341	3292
CLDN17	19	4693	0.010894592	0.053746341	3293
SDS	18	4439	0.010896973	0.053746341	3294
UBR1	19	3445	0.010903934	0.053746341	3295
TET3	19	4805	0.010925926	0.053746341	3296
DOK6	18	4764	0.010931131	0.053746341	3297
EMILIN3	20	4678	0.010937117	0.053746341	3298
APP	20	4838	0.010937125	0.053746341	3299
LIPG	17	4252	0.010937134	0.053746341	3300
OR13C8	16	4528	0.010937988	0.053746341	3301
ZFYVE28	17	4828	0.010939711	0.053746341	3302
NSF	18	4791	0.010942372	0.053746341	3303
OSBPL3	19	4376	0.010943575	0.053746341	3304
CCDC9B	18	4614	0.010951650	0.053746341	3305
SLFN11	21	4168	0.010952385	0.053746341	3306
GPR83	19	3632	0.010956229	0.053746341	3307
EPHB2	18	4040	0.010957595	0.053746341	3308
PIK3R5	19	3142	0.010958545	0.053746341	3309
PCDHGA10	20	3920	0.010967806	0.053746341	3310
PPP1R13L	17	4486	0.010974938	0.053746341	3311
BMT2	18	3801	0.010976353	0.053746341	3312
CALCRL	20	3987	0.010976600	0.053746341	3313
AGRN	20	4397	0.010979824	0.053746341	3314
DIS3L2	21	4216	0.010983474	0.053746341	3315
WNK2	20	4660	0.010986059	0.053746341	3316
CACNG3	21	3745	0.010989803	0.053746341	3317
MBD1	17	4649	0.010990285	0.053746341	3318
PRRX1	17	3272	0.010990400	0.053746341	3319
ZNF223	19	4239	0.010990705	0.053746341	3320
OR52N1	18	3424	0.010991643	0.053746341	3321
MLYCD	17	3158	0.010991995	0.053746341	3322
FMO3	19	4048	0.010992684	0.053746341	3323
TMEM108	17	4613	0.010995990	0.053746341	3324
ARHGAP11A	18	4644	0.010996930	0.053746341	3325
EPB41L4B	14	4693	0.011001711	0.053746341	3326
SPATA5	18	3104	0.011004296	0.053746341	3327
FIZ1	17	3522	0.011010254	0.053746341	3328
KHDC3L	17	3887	0.011010528	0.053746341	3329
EPX	22	4326	0.011012504	0.053746341	3330
CTDP1	19	4442	0.011017775	0.053746341	3331
CPA1	20	3681	0.011022607	0.053746341	3332
SERPINE1	22	3286	0.011024296	0.053746341	3333
HSPA9	17	3525	0.011025160	0.053746341	3334
DLK1	18	3091	0.011030674	0.053746341	3335
PLAT	18	4494	0.011036055	0.053746341	3336
MAP3K3	16	3176	0.011038956	0.053746341	3337
EDNRB	18	3624	0.011047024	0.053746341	3338
IL18R1	20	3992	0.011048821	0.053746341	3339
MET	17	4036	0.011053887	0.053746341	3340
KYNU	19	3677	0.011060283	0.053746341	3341
PIGX	19	4686	0.011060382	0.053746341	3342
MFSD9	17	4830	0.011068941	0.053746341	3343
ARAP3	17	3128	0.011078489	0.053746341	3344
ZNF667	19	4895	0.011079648	0.053746341	3345
GPRIN3	19	3261	0.011079870	0.053746341	3346
SHROOM2	18	3939	0.011080972	0.053746341	3347
CEMIP	19	3821	0.011081751	0.053746341	3348
SECISBP2L	17	4573	0.011083452	0.053746341	3349
HAND2	19	3821	0.011083737	0.053746341	3350
DAB2	18	4587	0.011086780	0.053746341	3351
SUGP1	21	4000	0.011092119	0.053746341	3352
AFP	18	4979	0.011095500	0.053746341	3353
ITGA1	18	3623	0.011097799	0.053746341	3354
HCFC1	20	4303	0.011103973	0.053746341	3355
MAP3K9	21	4938	0.011105327	0.053746341	3356
LAMB2	20	4554	0.011106598	0.053746341	3357
DRD2	20	4300	0.011107779	0.053746341	3358
KIAA0586	18	3994	0.011111290	0.053746341	3359
PHF2	15	3595	0.011115869	0.053746341	3360
OR7G2	16	3048	0.011119703	0.053746341	3361
NFAT5	17	4405	0.011126952	0.053746341	3362
CARMIL1	19	4181	0.011135354	0.053746341	3363
LIG1	20	3035	0.011138177	0.053746341	3364
ZNF699	17	3123	0.011141547	0.053746341	3365
ZKSCAN2	19	3726	0.011141849	0.053746341	3366
ZNF135	20	3290	0.011144307	0.053746341	3367
CLEC16A	18	3086	0.011147206	0.053746341	3368
OR8A1	16	4404	0.011147800	0.053746341	3369
SYTL5	17	3159	0.011151622	0.053746341	3370
TLR10	19	4523	0.011154171	0.053746341	3371
BROX	18	4244	0.011155701	0.053746341	3372
SF3B2	20	3958	0.011157219	0.053746341	3373
SULF1	19	4430	0.011161937	0.053746341	3374
DIS3	15	3844	0.011162030	0.053746341	3375
TRIM49	17	3935	0.011162519	0.053746341	3376
NOVA1	18	3743	0.011163032	0.053746341	3377
IRGC	18	3123	0.011163437	0.053746341	3378
IARS1	20	3788	0.011171736	0.053746341	3379
CDYL	20	3406	0.011172477	0.053746341	3380
DMGDH	16	4854	0.011190498	0.053746341	3381
MCC	18	3419	0.011197694	0.053746341	3382
KCNF1	13	4900	0.011203455	0.053746341	3383
DDX24	14	3276	0.011204150	0.053746341	3384
STAP1	16	3343	0.011208883	0.053746341	3385
SLC13A3	15	4249	0.011210017	0.053746341	3386
SMYD3	18	4446	0.011211790	0.053746341	3387
PRAMEF15	19	4107	0.011213773	0.053746341	3388
LAMP5	22	4622	0.011215014	0.053746341	3389
NR1H4	20	3649	0.011219639	0.053746341	3390
TDRD7	20	3769	0.011222741	0.053746341	3391
CLDN8	18	4083	0.011225435	0.053746341	3392
TBC1D2	19	4985	0.011227550	0.053746341	3393
CCIN	19	4979	0.011230776	0.053746341	3394
BRPF3	16	3260	0.011231678	0.053746341	3395
TTC21B	20	3890	0.011232409	0.053746341	3396
TCEAL5	19	4699	0.011234257	0.053746341	3397
SLCO1C1	18	4033	0.011236687	0.053746341	3398
NLRP9	19	4262	0.011242000	0.053746341	3399
KIAA1217	17	3148	0.011243722	0.053746341	3400
WDR36	19	4631	0.011245053	0.053746341	3401
DVL3	14	3666	0.011246311	0.053746341	3402
HSPA5	19	3452	0.011255766	0.053746341	3403
STAT2	18	3758	0.011261224	0.053746341	3404
DYDC2	18	3365	0.011262709	0.053746341	3405
ANGPT1	17	4284	0.011267976	0.053746341	3406
ZSCAN4	23	4341	0.011268913	0.053746341	3407
KLHL38	21	4633	0.011271492	0.053746341	3408
ABCC3	19	4090	0.011273850	0.053746341	3409
NKD2	19	3265	0.011275995	0.053746341	3410
PRAMEF4	17	4840	0.011290402	0.053746341	3411
NXPE4	19	4565	0.011292566	0.053746341	3412
ELN	16	3160	0.011297507	0.053746341	3413
GSDMD	17	4134	0.011298546	0.053746341	3414
PIEZO2	21	4125	0.011299086	0.053746341	3415
TRIP12	20	4243	0.011301196	0.053746341	3416
TENT4A	16	4625	0.011301366	0.053746341	3417
MYO5B	22	4316	0.011306917	0.053746341	3418
LRP6	18	4668	0.011309667	0.053746341	3419
ADCY9	17	4656	0.011313334	0.053746341	3420
EPS8L3	19	4679	0.011318716	0.053746341	3421
MST1R	17	4460	0.011325300	0.053746341	3422
KIAA1522	18	4251	0.011328483	0.053746341	3423
LMTK2	17	3914	0.011332691	0.053746341	3424
DHX30	17	4919	0.011334121	0.053746341	3425
PACSIN3	20	4482	0.011340651	0.053746341	3426
KIAA0232	20	4806	0.011342573	0.053746341	3427
ASIC5	16	3852	0.011348078	0.053746341	3428
ZNF611	22	3804	0.011350537	0.053746341	3429
GPR78	16	4880	0.011351493	0.053746341	3430
MAP3K20	17	3112	0.011353816	0.053746341	3431
OR4K1	17	4140	0.011354725	0.053746341	3432
CEP135	19	3159	0.011355083	0.053746341	3433
JAG1	18	3775	0.011359224	0.053746341	3434
SERPINA7	20	3968	0.011362204	0.053746341	3435
CCDC18	17	4080	0.011365563	0.053746341	3436
MAP3K15	17	3870	0.011366409	0.053746341	3437
FAP	17	4127	0.011371913	0.053746341	3438
OR56A1	20	3469	0.011374252	0.053746341	3439
NPR1	16	4752	0.011374786	0.053746341	3440
NDUFAF3	16	3631	0.011375126	0.053746341	3441
KCNG1	22	3419	0.011377334	0.053746341	3442
AL121899.2	17	3107	0.011378183	0.053746341	3443
DNAJC1	17	3235	0.011382998	0.053746341	3444
ADH1B	19	3243	0.011384657	0.053746341	3445
ADAM28	15	3515	0.011395000	0.053746341	3446
FCGR3B	17	4827	0.011397632	0.053746341	3447
CYP2B6	17	3515	0.011402545	0.053746341	3448
CIITA	16	4931	0.011403624	0.053746341	3449
POLR3B	22	3333	0.011404204	0.053746341	3450
XCL1	15	3904	0.011407889	0.053746341	3451
CRB2	18	4196	0.011413226	0.053746341	3452
NEDD4L	14	3018	0.011414148	0.053746341	3453
ANKRD12	21	3128	0.011415319	0.053746341	3454
TMPRSS3	16	3398	0.011417016	0.053746341	3455
HS3ST5	19	4823	0.011417157	0.053746341	3456
BMP10	16	4596	0.011419242	0.053746341	3457
HOXA3	19	4835	0.011427210	0.053746341	3458
CCDC85A	20	4656	0.011427300	0.053746341	3459
KRT34	20	3287	0.011429409	0.053746341	3460
RIPK1	17	4246	0.011430629	0.053746341	3461
GPN2	20	4708	0.011432337	0.053746341	3462
CFHR2	16	4377	0.011440140	0.053746341	3463
KRT79	16	4894	0.011452281	0.053746341	3464
SETDB1	18	3671	0.011453434	0.053746341	3465
RABEP1	23	3142	0.011454381	0.053746341	3466
CAND1	16	4974	0.011458731	0.053746341	3467
ZNF608	19	4030	0.011460356	0.053746341	3468
DLGAP4	20	3630	0.011464059	0.053746341	3469
TMEM168	21	4184	0.011466555	0.053746341	3470
TUBB4A	22	3577	0.011467139	0.053746341	3471
CADM3	18	4756	0.011467308	0.053746341	3472
ELAPOR2	20	3001	0.011469117	0.053746341	3473
PIGO	19	4698	0.011470238	0.053746341	3474
SPG11	16	3400	0.011474210	0.053746341	3475
RPL11	18	4795	0.011481687	0.053746341	3476
PTPRM	22	4384	0.011485342	0.053746341	3477
KHDRBS2	17	4043	0.011485823	0.053746341	3478
MYRF	17	3230	0.011486157	0.053746341	3479
LILRA1	19	4555	0.011487817	0.053746341	3480
BCL11B	18	4950	0.011489055	0.053746341	3481
SLC38A11	15	3942	0.011489214	0.053746341	3482
RASAL3	19	3360	0.011494653	0.053746341	3483
CYFIP1	18	4458	0.011496642	0.053746341	3484
ZNRF4	17	3373	0.011498956	0.053746341	3485
SYCP2L	18	4948	0.011499867	0.053746341	3486
PRSS55	15	4214	0.011502245	0.053746341	3487
ZNF202	21	3302	0.011502803	0.053746341	3488
ZMIZ1	15	3082	0.011503230	0.053746341	3489
NAV1	19	3347	0.011506589	0.053746341	3490
HS3ST4	15	3836	0.011506610	0.053746341	3491
UACA	21	4985	0.011506847	0.053746341	3492
FAM214B	17	4311	0.011509091	0.053746341	3493
MOCOS	16	4135	0.011512600	0.053746341	3494
PHF21B	19	3236	0.011517072	0.053746341	3495
TFEC	14	3573	0.011518344	0.053746341	3496
OR10A4	15	3221	0.011519561	0.053746341	3497
TRPC1	18	3344	0.011519914	0.053746341	3498
RDH8	20	4195	0.011520097	0.053746341	3499
SNAI2	15	3612	0.011525583	0.053746341	3500
IGKV1D-16	19	3352	0.011525977	0.053746341	3501
SAMSN1	16	4944	0.011530432	0.053746341	3502
TMEM130	19	4735	0.011531961	0.053746341	3503
SMTN	13	4586	0.011535946	0.053746341	3504
MYH14	17	4801	0.011538894	0.053746341	3505
TRIM11	17	3201	0.011543211	0.053746341	3506
CCDC170	18	3702	0.011545994	0.053746341	3507
PDZD8	20	3335	0.011546983	0.053746341	3508
ITGB2	16	3791	0.011550178	0.053746341	3509
KRT82	17	4935	0.011553636	0.053746341	3510
OR6K6	19	3769	0.011554366	0.053746341	3511
STK36	14	3935	0.011557047	0.053746341	3512
IGHM	16	4422	0.011558880	0.053746341	3513
HGFAC	15	4677	0.011558900	0.053746341	3514
EEF1AKMT4-ECE2	21	3101	0.011562413	0.053746341	3515
SYNJ2	16	4871	0.011570605	0.053746341	3516
NLRC5	20	3440	0.011571537	0.053746341	3517
CD8A	16	3431	0.011574115	0.053746341	3518
MCOLN3	20	3349	0.011574848	0.053746341	3519
ACTRT2	17	4585	0.011578190	0.053746341	3520
FAM151A	18	4403	0.011579416	0.053746341	3521
AIFM1	19	4585	0.011581280	0.053746341	3522
KLHL13	20	4692	0.011582076	0.053746341	3523
OR7G3	15	3352	0.011582191	0.053746341	3524
HSPA6	16	3953	0.011586451	0.053746341	3525
THBS1	17	3661	0.011590605	0.053746341	3526
PPP3CA	15	4682	0.011592521	0.053746341	3527
PTPN3	18	4884	0.011594407	0.053746341	3528
GP2	18	4508	0.011595498	0.053746341	3529
KAT14	17	3962	0.011595533	0.053746341	3530
CTSF	15	3574	0.011596354	0.053746341	3531
ZCCHC12	19	4012	0.011601347	0.053746341	3532
EYA2	18	3441	0.011602118	0.053746341	3533
SNTG2	17	3237	0.011602468	0.053746341	3534
GGN	14	3956	0.011603151	0.053746341	3535
CFTR	18	3689	0.011605170	0.053746341	3536
DDX31	18	3407	0.011611079	0.053746341	3537
MCM4	19	3054	0.011615675	0.053746341	3538
RASGRF1	16	3489	0.011616483	0.053746341	3539
PLEKHM3	17	3685	0.011617444	0.053746341	3540
ADGRE2	17	3535	0.011620505	0.053746341	3541
CAND2	17	3646	0.011622954	0.053746341	3542
TRIM48	18	3955	0.011631353	0.053746341	3543
ASB10	17	3404	0.011632592	0.053746341	3544
SPRY3	15	4899	0.011646740	0.053746341	3545
HOOK1	17	3499	0.011652282	0.053746341	3546
RUFY1	19	3489	0.011652689	0.053746341	3547
IL25	18	3562	0.011653636	0.053746341	3548
LINGO1	19	3237	0.011657448	0.053746341	3549
